id,logo_path,name,origin_country
5887,/m6FEqz8rQECnmfjEwjNhNAlmhCJ.png,ufotable,JP
2918,/gyEWUBWwqrm3H5T2hkERD9LxpOq.png,Shueisha,JP
91520,/wdcFLdFVOPEm3uEp6Hb9OXgi5Zd.png,STUDIO MAUSU,JP
62866,/uYawQ0Lb8smRXNNCoq8gTHG92Pz.png,Futabasha,JP
56933,/ogbbk2xvszgQwkf4msNbH5lhsM9.png,Studio VOLN,JP
145105,,Tohan,JP
3031,/2JcgVKZ1gEY5RsLJU1CGj1MaKFj.png,The Asahi Shimbun,JP
84461,/c5rCgOHtg8vSfRumU84w6VZBt8U.png,HALF H・P STUDIO,JP
171656,/4UBohOtIr9DtxylH48Qsg6aDow6.png,Walt Disney Feature Animation,US
29566,/wHbtRtUnXGNzX0riQIpq1fcgueq.png,Atresmedia,ES
101644,,The SPA Studios,ES
164323,,Saul Projects,
6181,/eaQ7or8IoEmPfgmQiU2C5lVZkxS.png,SF Studios,SE
93145,,Deantir,IT
121589,/kZvTniBgpTzAThHCa0OZ1FJtRjy.png,CloverWorks,JP
157002,/hSdroyVthq3CynxTIIY7lnS8w1.png,Tokyo MX,JP
81418,/kW9bMQqnMFtPHvdoyCDpRqh7Gxt.png,Nagoya Broadcasting Network,JP
142186,/bdXTOuU7PdsDtQngyM7vb47zePs.png,Hakuhodo DY Music & Pictures,JP
6735,/pAQW38WU8ychBvYU2aGPTEbynEN.png,Participant,US
7,/vru2SssLX3FPhnKZGtYw00pVIS9.png,DreamWorks Pictures,US
88582,/zf2Akd6JvRZlnd1OacHYaN5dj0k.png,Cinetic Media,US
34725,/ps6SgHZg9656fZuAAtxOva7hivs.png,Moho Film,KR
15662,/onTO8FymA6J6puYznAjZDsXvHYf.png,Studio Chizu,JP
11725,/3OZxd70DZ1LbVelmZK8mR5FIXxO.png,VAP,JP
14789,,D.N. Dream Partners,JP
11727,/cIMyE9cw1W4kMFGxmC17HKTnVz9.png,Yomiuri Telecasting Corporation,JP
1399,,Fair Film,IT
12473,,Incei Film,IT
12989,,Sancro Film,IT
35228,,Shooting Pictures,
140097,,China Wit Media,
140098,,Tianijn Xiron Entertainment,
7909,,We Pictures,HK
140099,,Goodfellas Media,
152608,,He Nan Dian Ying Dian Shi Zhi Zuo Ji Tuan,
152609,,Fat Kids Production,
1875,,Produzioni De Sica,IT
9965,/sxA2AfKijRSS1dxcXejJ27wg20H.png,Ánima Estudios,MX
204533,/fS7UHefROMl8F8kRx0InNnsTT7I.png,Top Draw Animation,PH
89394,/m1Hku3PhgdsQiPO8uVe7szyrxAb.png,RadicalMedia,US
122645,/ujqjqvWtJxP24nAwmRvksaPTDoo.png,5000 Broadway Productions,US
150839,,Nevis Productions,
122647,,Old 320 Sycamore,US
3,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png,Pixar,US
333,/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png,Original Film,US
121671,,Shifting Gears Productions,
1708,,Starbucks Entertainment,
88,,Hawk Films,
11272,,Peregrine,
734,,Producers Circle,
152809,,Double Dream,US
170335,,The Disco Factory,US
128064,/13F3Jf7EFAcREU0xzZqJnVnyGXu.png,DC Films,US
82968,/gRROMOG5bpF6TIDMbfaa5gnFFzl.png,LuckyChap Entertainment,US
437,/nu20mtwbEIhUNnQ5NXVhHsNknZj.png,Heyday Films,GB
181486,,NB/GG Pictures,US
6220,/cAj69EL1zSXmZH6STbMGZrunyMD.png,Mattel,US
435,/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png,di Bonaventura Pictures,US
6734,,Bay Films,US
114732,/tNCbisMxO5mX2X2bOQxHHQZVYnT.png,New Republic Pictures,US
38831,,Tom DeSanto/Don Murphy Production,
2598,/i42C5gRq7XqlG4S9vkchuJZfrBn.png,Hasbro,US
17021,,Lucamar Productions,
2527,/osO7TGmlRMistSQ5JZusPhbKUHk.png,Marc Platt Productions,US
176762,,Kevin Feige Productions,US
106008,/lxEXqPBVaruHI6VtuVzwMLZnfHb.png,Animagrad Animation Studio,UA
116025,,3Beep,US
21652,/o5qeK1nhECoVkuIxMO4T6yBYqwX.png,FILM.UA Group,UA
1225,/rIxhJMR7oK8b2fMakmTfRLY2TZv.png,One Race,US
34530,,Perfect Storm Entertainment,US
198242,,Operator Films (US),
5542,/ayE4LIqoAWotavo7xdvYngwqGML.png,Toei Animation,JP
90508,,Santa Fe Films,US
7220,/dD0x5awPmtx4sAr2pNvkmxkCODh.png,CAPCOM,JP
7164,/vHsaqTkQ2ZTbdqrCA272YahoVlg.png,TMS Entertainment,JP
140891,,Quebico,JP
172244,/lz8CdepJJMQiZZ9Cf192IZkGNAG.png,UNLIMITED PRODUCE by TMS,JP
3528,/cCzCClIzIh81Fa79hpW5nXoUsHK.png,Thunder Road,US
23008,/5SarYupipdiejsEqUkwu1SpYfru.png,87Eleven,US
491,/5LvDUt3KmvRnXQ4NrdWJYHeuA8J.png,Summit Entertainment,US
6704,/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png,Illumination,US
12288,/e4dQAqZD374H5EuM0W1ljEBWTKy.png,Nintendo,JP
188079,,Orphan Studio,
2373,/wcQ30Rj2FP8d8VkAcOYqXCHCmsq.png,Patriot Pictures,US
16322,/pKjLo6lCOYCwfK0efWCfAXqYzaY.png,Itaca Films,MX
162995,,Lost Winds Entertainment,US
11068,/jOdUllzDZRFy0tPIFDEwpP4Mpv4.png,Nostromo Pictures,ES
25998,,Chris Morgan Productions,US
119245,/6F45uVsKpNYANcWvplyhgIFezFU.png,Dylan Clark Productions,US
13778,,Bluegrass Films,US
3341,/dTG5dXE1kU2mpmL9BNnraffckLU.png,Fuji Television Network,JP
155586,/rogLuRSNdqLI9r29ZCzD0i0kfJW.png,Bandai,JP
12502,/tlBbCuZditAuvzDdIDjjnGLJUpc.png,Bandai Namco Entertainment,JP
173235,,ADK Emotions,JP
79,/tpFpsqbleCzEE2p5EgvUq6ozfCA.png,Village Roadshow Pictures,US
34081,,Flynn Picture Company,US
878,/e2AZdsQdkhN0qJhoN4TMYiVPLyb.png,Happy Madison Productions,US
2575,/9YJrHYlcfHtwtulkFMAies3aFEl.png,21 Laps Entertainment,US
14734,,Oren Peli Productions,US
76907,/ygMQtjsKX7BZkCQhQZY82lgnCUO.png,Atomic Monster,US
121204,/vbtvY4IxgUZk713rkmoTO4MHIac.png,BondIt Media Capital,US
139740,,The Squid Farm,
204229,,Dreamspace,
5056,/kADFcjL04xe5HGBnlLjbfhliS2a.png,Head Gear Films,GB
25954,/oga9DS7GZGbZ0iZ4JFuVTBMBv1C.png,Metrol Technology,GB
142494,/7RTnuDThdQwCw8kokDlAVtDMwJI.png,Bohemia Media,GB
18892,,852 Films,
72408,,Kaos Entertainment,
121063,,Red Sea Media,US
130900,,Buffalo 8 Productions,US
1632,/cisLn1YAUuptXVBa0xjq7ST9cH0.png,Lionsgate,US
11565,,The Safran Company,US
3287,/bz6GbCQQXGNE56LTW9dwgksW0Iw.png,Screen Gems,US
106544,/psd84iF7PTGrKf4yFOStKj8JbAh.png,AGBO,US
104576,/sNhEzePPkxW3AKqr3l0h7I1k0hR.png,Filmhaus Films,AT
127928,/h0rjX5vjW5r8yEnUBStFarjcLT4.png,20th Century Studios,US
574,/iB6GjNVHs5hOqcEYt2rcjBqIjki.png,Lightstorm Entertainment,US
22213,/qx9K6bFWJupwde0xQDwOvXkOaL8.png,TSG Entertainment,US
172265,,Sangre Films,CO
172266,,222 Pictures,
92109,/1wOgBio7WGOskOAQ2aTvtCHAdm8.png,Dawn's Light,US
172267,,Elemental Stories,
32485,/fVXreZkiJTOq1cCi6htSQlPSy7R.png,Pokeepsie Films,ES
20580,/oRR9EXVoKP9szDkVKlze5HVJS7g.png,Amazon Studios,US
200553,,Doorbell Productions,
77781,,Lola's Productions,
200554,,Seeon,
185718,,Rock Solid Productions,
4322,/AkdxBRkqgx0bHjjLvIyl0Mu8sxa.png,Compound B,US
185719,,White Snake Golden Dragon,
153486,/389mBiWxOR04XM8233qcRFfx9TN.png,October Media,CN
121042,/c8y6syie4YoN4Pzz62Lvu11UNz0.png,Horgos Coloroom Pictures,CN
4053,,Enlight Pictures,CN
21777,,TC Productions,US
47729,/5NRpQ7xxmODXAjt2pRWUFMLVzvP.png,STX Films,US
2900,,Toff Guy Films,GB
2735,,Mid Atlantic Films,HU
290,/jrgCuaQsY9ouP5ILZf4Dq4ZOkIX.png,Ingenious Media,GB
444,,Dune Entertainment,US
10893,,Big Screen Productions,
12292,/4GQTeqos2luopEtp3OgMQYusQ5c.png,Temple Hill Entertainment,US
34396,/32y3tiWkKJ8uuaB0GaGnvV3AcGa.png,Giant Pictures,
34397,,Origo Film Group,
119056,/vbhwOf0TQ4z12GIytYGWmhPJAOz.png,Particular Crowd,US
20613,/tXbbUdhyQuF6ERC7Qu2BbbaeA1a.png,SC Films International,
155758,,Tea Shop Productions,
78193,/4fFGVQ0XYnkb9n0CbH6xc0aHtBM.png,Mucho Mas Media,US
151485,/8WMlxjc69DhHc8D5wbEN4mkU9rY.png,Silk Mass,US
185127,/lD5UjvX5MsbIwbZJvdC5aee1nwm.png,The Avenue Entertainment,US
76991,/pQjdvbv4y9yuIDSHDEHc9ijJKaS.png,Highland Film Group,US
77863,/7z6YOzvdk70YY8OaRbn5mfxrvbO.png,Studio 8,US
52180,,Solstice Productions,US
158413,,Double R Productions,US
84792,/7Rfr3Zu6QnHpXW2VdSEzUminAQd.png,2.0 Entertainment,US
177894,,Jesus & Mary,
177895,,Worldwide Katz,
177896,,Loyola Productions,
194987,,FFILME.RO,
768,,Ghost House Pictures,US
467,,Renaissance Pictures,US
7893,,Pacific Renaissance Pictures,NZ
129815,/qbCmnVTQEuFqrVkbxn3i9P7Jrcw.png,Wild Atlantic Pictures,IE
3361,/sDKWkiVJRY0gn1j5NBseGKlgFyY.png,Digital Frontier,JP
56242,/1YORRYmg7hgYIgoJek8jU3cykuQ.png,Apelles Entertainment,US
92484,/dfWwoWRp8snHjzDKO5IFkiCAUe7.png,CMC Pictures,CN
150179,,Post Film,
18609,/cYhbt3q231mWEkiMn3WPLCcXXl9.png,BoulderLight Pictures,US
117747,/brD72VA95qgjCtGx0hJEAVUeldW.png,Media Finance Capital,GB
106786,/w1frKfyOXbGcK6kKtRnTNJfmtBv.png,RainMaker Films,US
75355,/avj80RsunqwDbOS6oLp4plRE5UQ.png,Yale Productions,US
62408,,Subzero Film Entertainment,FI
182028,/mTsDayzbpU8eXyO99NfBOXP6C2U.png,Good Chaos,GB
125055,/8iY66HqRqdQdwOjoS3sNvokcH9r.png,Hyperobject Industries,US
20064,/2In7Heq6DuXDjOwPmJqHWkpohaL.png,Next Entertainment World,KR
85150,/dXGvoNR0ni359HmKefOAIMY7WcE.png,Zip Cinema,KR
7270,,Opus Pictures,KR
88607,,Union Investment Partners,KR
3394,,Sundream Motion Pictures,HK
100305,/aVyp89twN22GhC2sZTkRP9gHHeX.png,Seoul Film Commission,KR
197889,,United Pictures,KR
71767,,Carver Films,AU
12142,/rPnEeMwxjI6rYMGqkWqIWwIJXxi.png,XYZ Films,US
148495,/2fQRDickgp9vuDIxJTlDLEs7j0y.png,Proximity Media,US
166120,/fRuHQF9DB4Zl3ha62D5Bpu1a5TL.png,Balboa Productions,US
102334,/baWl2NMe4hiIsoJ94tv32uhYQ7z.png,Outlier Society Productions,US
12252,,Chartoff-Winkler Productions,
181859,,ERO Picture Company,CA
130448,/yHWTTGKbOGZKUd1cp6l3uLyDeiv.png,Project X Entertainment,US
6125,/tzsMJBJZINu7GHzrpYzpReWhh66.png,Walt Disney Animation Studios,US
126588,/cNhOITS96oOV7SCgUHxvZlWRecx.png,Radio Silence,US
143790,/wo1smiXdiwwxai2dwJlRiGwE7rS.png,Spyglass Media Group,US
4811,/7xym5CnL4LcMPaWpp51cN1v73AR.png,Warner Premiere,US
162351,/pcbWKao4b7WTn2USrfgDjxahVN6.png,NBC News Studios,US
122289,,Emperor Motion Pictures,HK
29335,/fUDAcbBjbpO5QmSxro6PJwvRqSm.png,Comcast,US
148024,,北京京西文化旅游股份有限公司,
190261,,"Century Changshengtian Film (Beijing) Co., Ltd.",CN
84946,/bcR1XkyGksliI5y4ii9MaYl3Oen.png,Tencent Penguin Pictures,CN
96956,,猫眼影业,
160975,,华夏电影发行有限责任公司,
200259,,La Vereda Producciones,
73669,/9JmgzVUNvUN5KhZjmiVHEzPtFCc.png,Seven Bucks Productions,US
